Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-05-24,28.66155754286667,30.82923836543642,27.45729041921681,27.938997268676758,44000,0.0,0
2019-05-28,28.179849287295447,29.384116350855084,27.46692340617603,27.71259307861328,61500,0.0,0
2019-05-29,28.80606947169668,28.80606947169668,26.64802298853133,27.457290649414062,207800,0.0,0
2019-05-30,27.929362207795997,28.0931426059903,27.187533237294392,27.746313095092773,666000,0.0,0
2019-05-31,27.4572904531364,27.543997833151572,25.983266830444336,25.983266830444336,853800,0.0,0
2019-06-03,25.569001310627698,26.012170744992247,23.478393440212724,23.902294158935547,19259600,0.0,0
2019-06-04,23.459125278022448,26.917780801977546,23.459125278022448,26.734731674194336,20135100,0.0,0
2019-06-05,26.53241426909936,27.187534043743284,25.491925705543327,26.985218048095703,10740200,0.0,0
2019-06-06,26.67692642579326,26.67692642579326,25.270341438823078,25.915828704833984,13986100,0.0,0
2019-06-07,25.212536686296424,25.944731321237768,24.77418352484219,25.347414016723633,10049100,0.0,0
2019-06-10,25.116191497849012,25.761678663815992,24.200949708088135,24.383996963500977,10247200,0.0,0
2019-06-11,24.094976624427293,24.432171783678626,23.63253849391644,24.037172317504883,11641200,0.0,0
2019-06-12,24.191319872251796,24.518880694551314,23.58436818016968,24.152782440185547,13392000,0.0,0
2019-06-13,24.143147736736132,24.26839255159358,23.7963200409317,24.056440353393555,9710800,0.0,0
2019-06-14,23.854120612139013,24.3165586924473,23.651802803525644,24.268388748168945,7036800,0.0,0
2019-06-17,24.59595173975995,25.915827443084417,24.518878719402068,25.000585556030273,13710100,0.0,0
2019-06-18,25.077655599369873,26.56131152452282,24.807899141357733,26.301189422607422,14485400,0.0,0
2019-06-19,26.474605571354683,26.474605571354683,25.88692451858687,26.156679153442383,10228800,0.0,0
2019-06-20,26.368634826667897,26.590219545468383,25.45339104022642,26.166316986083984,7728000,0.0,0
2019-06-21,25.88692432657992,26.696190062709647,25.88692432657992,26.2144832611084,12548900,0.0,0
2019-06-24,26.14704731775306,27.409120592037148,26.06323042847538,26.985218048095703,6494900,0.0,0
2019-06-25,26.99485279175922,27.062291457939697,26.474608502539848,26.657657623291016,6698600,0.0,0
2019-06-26,26.90814538118308,28.300277906755944,26.83107235740774,28.189485549926758,6735100,0.0,0
2019-06-27,28.305092901180988,29.22033662545931,28.189484289470187,28.488142013549805,5879600,0.0,0
2019-06-28,28.51704508526038,28.66155676868176,28.189484289470187,28.488142013549805,15517800,0.0,0
2019-07-01,28.49778018528498,29.624974406954678,27.890830298647142,28.5941219329834,5272900,0.0,0
2019-07-02,28.420706404566218,28.517048149722005,27.11046308060579,27.929365158081055,5438300,0.0,0
2019-07-03,27.727046218149606,27.842654830071613,27.16826636035123,27.746313095092773,2234900,0.0,0
2019-07-05,27.40911962651574,28.247288489767,27.22607051483097,27.592166900634766,2888200,0.0,0
2019-07-08,27.351315193355152,27.351315193355152,26.628754896207134,26.753999710083008,3478600,0.0,0
2019-07-09,26.464972989292168,26.753998194315958,25.848388825346625,26.002534866333008,5285700,0.0,0
2019-07-10,25.82911998831339,26.012169100203604,25.472657959310382,25.53046226501465,5133700,0.0,0
