Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-08-24,68.01235624607423,68.40128414435704,67.55860380309699,68.37247467041016,867385,0.0,0.0
2016-08-25,68.37249684481655,68.69660676014742,68.17802960429202,68.53815460205078,808048,0.0,0.0
2016-08-26,68.59577168970988,68.88386651472159,66.61511008280958,66.6871337890625,1030358,0.0,0.0
2016-08-29,66.9176010723915,67.49379064856598,66.9176010723915,67.35694885253906,997458,0.0,0.0
2016-08-30,67.44338045828084,67.69546018138844,66.49986029801343,66.61510467529297,641668,0.0,0.0
2016-08-31,66.68712253783075,67.01122593297232,66.4350363801617,66.91039276123047,1280163,0.0,0.0
2016-09-01,66.80236368386733,66.91760160001083,66.24057238603866,66.4134292602539,1031533,0.0,0.0
2016-09-02,66.43504492088361,67.26332073784431,66.27659277349049,67.12647247314453,984533,0.0,0.0
2016-09-06,67.37854624409964,68.27885205510732,67.32092729203148,67.8178939819336,960915,0.0,0.0
2016-09-07,67.73866281289693,68.16359930377808,67.3065142689524,68.0915756225586,1181463,0.0,0.0
2016-09-08,67.75306956193108,68.30045606425242,67.60182304077755,68.06277465820312,1118013,0.0,0.0
2016-09-09,67.7674950499953,67.7674950499953,65.50593778674079,65.54194641113281,1308363,0.0,0.0
2016-09-12,65.65717391267304,66.83836895050251,65.48431704713148,66.66551208496094,1403538,0.0,0.0
2016-09-13,66.54306801749524,66.54306801749524,65.26103981887721,65.79402160644531,1202848,0.0,0.0
2016-09-14,65.90926786680804,66.57909152833449,65.67879201882123,66.51426696777344,1844750,0.0,0.0
2016-09-15,66.54330831421908,67.13887478102325,66.17290232881928,67.05171966552734,1137870,0.655319,0.0
2016-09-16,66.87741190128905,68.03948666167933,66.50699939131115,67.95233154296875,1778245,0.0,0.0
2016-09-19,68.1266556531584,68.61327508717504,67.98865676497441,68.56243133544922,1103443,0.0,0.0
2016-09-20,68.85294509524813,68.99820363518349,68.18474930062929,68.19200897216797,874553,0.0,0.0
2016-09-21,68.11937884522632,69.68091789626084,68.11937884522632,69.61555480957031,1459233,0.0,0.0
2016-09-22,69.81890509117675,70.13121415135764,69.39764889016975,69.84069061279297,1046925,0.0,0.0
2016-09-23,69.82615647424377,70.63235089666263,69.41943268380538,70.34182739257812,1334565,0.0,0.0
2016-09-26,70.28373357377362,70.63236052401082,70.00774239264365,70.18205261230469,925783,0.0,0.0
2016-09-27,70.47257418177355,70.88656423557686,68.96187900321118,69.04903411865234,2129453,0.0,0.0
2016-09-28,69.31777280320982,69.37587621950263,68.30095650716946,68.91104888916016,1525855,0.0,0.0
2016-09-29,68.5551554469065,68.5551554469065,67.51654721674231,67.58191680908203,3483993,0.0,0.0
