Stock,OBV_Value,Stocks_Ranked
COO,1835,307.0
TMO,1824,308.0
TFX,1776,309.0
MSCI,1775,310.0
PENN,1726,311.0
MPWR,1614,312.0
VRSN,1517,313.0
LMT,1446,314.0
BLK,1433,315.0
MHK,1400,316.0
GOOG,1179,317.0
GOOGL,1114,318.0
MAA,1054,319.0
MLM,1048,320.0
RMD,982,321.0
ROK,943,322.0
ZBRA,925,323.0
DVA,895,324.0
CTAS,818,325.0
TDG,775,326.0
ISRG,681,327.0
IDXX,657,328.0
IQV,562,329.0
CRL,538,330.0
BIO,518,331.0
BKNG,472,332.0
PPG,289,333.0
PAYC,282,334.0
FTNT,219,335.0
DGX,186,336.5
AVY,186,336.5
ROP,113,338.0
AZO,38,339.0
WAT,12,340.0
NVR,9,341.0
ANET,-10,342.0
CMG,-49,343.0
TDY,-94,344.0
MKTX,-101,345.0
ORLY,-114,346.0
MTD,-198,347.0
ANSS,-289,348.0
DXCM,-300,349.0
POOL,-309,350.0
GNRC,-488,351.0
FRT,-722,352.0
ED,-764,353.0
HON,-775,354.0
ALGN,-801,355.0
TYL,-839,356.0
QRVO,-1054,357.0
DPZ,-1062,358.0
GWW,-1121,359.0
ESS,-1195,360.0
AVB,-1292,361.0
HRL,-1397,362.0
IEX,-1572,363.0
AKAM,-2059,364.0
HSY,-2143,365.0
LYB,-2161,366.0
HUM,-2224,367.0
AAP,-2492,368.0
TTWO,-2851,369.5
NOC,-2851,369.5
FFIV,-2908,371.0
AMZN,-3621,372.0
CF,-3794,373.0
ABC,-3898,374.0
ADSK,-4052,375.0
MAR,-4250,376.0
ILMN,-4265,377.0
USB,-4738,378.0
SPG,-4867,379.0
JPM,-5229,380.0
GD,-5262,381.0
ADP,-5264,382.0
TROW,-5809,383.0
FRC,-6412,384.0
WELL,-6490,385.0
MA,-7452,386.0
SWK,-8724,387.0
ATO,-9031,388.0
KLAC,-9105,389.0
STT,-9563,390.0
LIN,-9880,391.0
PKI,-10111,392.0
HSIC,-10697,393.0
WLTW,-11050,394.0
PH,-11109,395.0
STX,-11191,396.0
CERN,-11205,397.0
AEP,-12214,398.0
LRCX,-12685,399.0
DE,-12717,400.0
BBY,-12914,401.0
ADM,-12934,402.0
IPGP,-13047,403.0
EQR,-13680,404.0
CAT,-14100,405.0
CTXS,-14119,406.0
REG,-14137,407.0
PYPL,-14539,408.0
IFF,-15393,409.0
FDX,-16157,410.0
ENPH,-16520,411.0
DG,-17768,412.0
CI,-18352,413.0
ROL,-18625,414.0
BAX,-18883,415.0
FIS,-19357,416.0
MMM,-20064,417.0
CPRT,-20358,418.0
PTC,-20500,419.0
KMX,-20567,420.0
INCY,-21153,421.0
TT,-21645,422.0
PCAR,-21890,423.0
SWKS,-23380,424.0
DOW,-23772,425.0
APTV,-24391,426.0
IRM,-24453,427.0
CBOE,-26935,428.0
AMGN,-28347,429.0
ICE,-29960,430.0
TER,-30952,431.0
CNP,-33649,432.0
SBUX,-34697,433.0
MNST,-35712,434.0
NKE,-37332,435.0
CME,-38861,436.0
TGT,-40159,437.0
DUK,-41356,438.0
MO,-41466,439.0
PSX,-41804,440.0
EXPE,-42332,441.0
GPN,-42733,442.0
TXN,-43931,443.0
CBRE,-45932,444.0
TAP,-48879,445.0
COP,-51792,446.0
MXIM,-56984,447.0
FMC,-59536,448.0
GE,-61602,449.0
NWL,-63017,450.0
WYNN,-63722,451.0
BA,-66162,452.0
NRG,-66885,453.0
VRTX,-66964,454.0
V,-68954,455.0
NWS,-77883,456.0
QCOM,-79745,457.0
ADI,-80453,458.0
TSLA,-81437,459.0
FANG,-90883,460.0
BWA,-91430,461.0
AXP,-105655,462.0
UDR,-115712,463.0
CTVA,-121013,464.0
SCHW,-121830,465.0
EOG,-131801,466.0
VTR,-136027,467.0
AMAT,-153098,468.0
CNC,-155193,469.0
WDC,-155520,470.0
DIS,-161675,471.0
DXC,-175248,472.0
CFG,-178782,473.0
PEAK,-198118,474.0
TWTR,-211036,475.0
MOS,-220797,476.0
GPS,-224159,477.0
NEM,-245601,478.0
WFC,-253336,479.0
PBCT,-265093,480.0
MRNA,-321483,481.0
XOM,-346929,482.0
DISCK,-361788,483.0
KMI,-415840,484.0
UAA,-442171,485.0
LVS,-458062,486.0
NWSA,-466686,487.0
OXY,-468643,488.0
MRO,-476405,489.0
MU,-478054,490.0
KO,-555975,491.0
KIM,-624305,492.0
WU,-672663,493.0
FCX,-761525,494.0
GM,-794103,495.0
HAL,-892507,496.0
INTC,-1168706,497.0
APA,-1226789,498.0
HST,-1242889,499.0
NOV,-1583341,500.0
COG,-1916395,501.0
AAL,-2927697,502.0
F,-9908424,503.0
