Stock,OBV_Value,Moving_Average
GOOG,-168,2883.7144775390625
PAYC,-177,481.097998046875
EFX,-219,274.5595947265625
INCY,-333,74.11899948120117
CRL,-648,442.36500244140626
REGN,-652,660.6741027832031
TYL,-703,477.8769989013672
GOOGL,-791,2863.305517578125
POOL,-814,488.9255065917969
CMG,-843,1892.4344848632813
ORLY,-1083,588.8750122070312
FFIV,-1107,202.80900115966796
WHR,-1121,219.52100067138673
ABMD,-1127,364.5054992675781
TDG,-1247,603.0970092773438
AVB,-1259,227.9060028076172
HUM,-1423,409.7989990234375
ANET,-1454,358.5329986572266
HLT,-1486,126.34500274658203
PSA,-1543,323.89479370117186
IEX,-1646,218.6240020751953
IPGP,-1691,173.26600036621093
HII,-1780,200.69300079345703
DPZ,-1799,512.6121520996094
PRU,-1864,104.61300048828124
ROP,-1903,478.16099548339844
ZBRA,-1939,581.7359985351562
ALGN,-1947,717.8249938964843
NOW,-2141,653.1279968261719
KMB,-2199,138.45520629882813
MPWR,-2225,494.7489959716797
MKTX,-2271,450.58249816894534
CDNS,-2326,165.3959991455078
CTAS,-2368,398.0719940185547
IQV,-2480,260.877001953125
COST,-2496,461.3470001220703
ILMN,-2501,459.25599975585936
AMZN,-2562,3472.5929931640626
LRCX,-2735,599.8784973144532
BLK,-2942,923.660986328125
SLB,-3236,27.723000144958498
GNRC,-3237,445.0279968261719
SPGI,-3641,449.9999969482422
RMD,-3665,293.4249969482422
MCK,-3720,205.12050018310546
FRT,-3771,121.18450012207032
TDY,-3794,442.00489196777346
ODFL,-3847,294.4845001220703
ETSY,-4228,215.74200286865235
TER,-4432,120.79008026123047
MCO,-4512,382.0655914306641
SNPS,-4673,334.50999755859374
GD,-4681,201.11100006103516
GWW,-4743,420.22300109863284
AVGO,-4811,497.2539947509766
SNA,-5034,221.8769989013672
LH,-5158,302.6
FIS,-5271,125.91881637573242
LDOS,-5479,97.41956939697266
KLAC,-5524,346.3510009765625
GRMN,-5720,172.4154525756836
AIZ,-5726,168.64299926757812
MLM,-5971,370.16099548339844
AWK,-5976,185.38399810791014
STE,-6023,214.96900329589843
FLT,-6030,260.8544982910156
PH,-6036,289.22499694824216
MHK,-6040,191.12900085449218
SBAC,-6353,361.03399963378905
URI,-6403,343.30499572753905
RE,-6469,257.29300079345705
INTU,-6499,564.0075012207031
CTXS,-6540,106.38473739624024
FRC,-6635,199.56400146484376
ADBE,-6731,658.7510070800781
SYK,-6878,276.29591979980466
AVY,-6911,224.60800018310547
AMP,-7099,269.98899841308594
ANTM,-7141,371.2624053955078
AAP,-7335,200.81799926757813
ROK,-7402,318.66099853515624
ULTA,-7784,378.5419952392578
FTNT,-8236,308.5539978027344
CHTR,-8261,794.9342468261718
CBOE,-8461,125.3520004272461
ARE,-8557,204.01600036621093
SWK,-9110,187.63724060058593
MSI,-9113,243.085107421875
RL,-9623,113.84150009155273
HAS,-9826,98.39069976806641
APD,-10015,268.4199981689453
CMI,-10078,234.66500091552734
BWA,-10363,42.9930004119873
FTV,-10375,74.81336898803711
ECL,-10422,225.47567596435547
NOC,-10442,359.0690032958984
JKHY,-10446,171.94126892089844
A,-10619,176.18699951171874
DTE,-10632,119.68899993896484
J,-10675,134.8490020751953
HD,-10862,330.6790008544922
RJF,-10980,137.41099853515624
LHX,-11473,230.6354995727539
XRAY,-11540,61.917000198364256
GPN,-12031,163.6102310180664
HOLX,-12081,79.48600006103516
RSG,-12217,124.75499954223633
GPC,-12409,120.56550064086915
INFO,-12480,121.70399932861328
MA,-12878,346.4180023193359
CI,-12934,211.02111206054687
ACN,-13277,341.03399963378905
EL,-13435,336.53599853515624
CHRW,-13993,89.28299942016602
PKG,-14321,150.5938705444336
KEYS,-14581,179.93999938964845
CHD,-14798,83.82099914550781
CCI,-14852,192.4940628051758
UPS,-15003,194.2893081665039
BXP,-15077,112.30399856567382
CDW,-15358,198.81799926757813
CINF,-15366,119.52399978637695
JBHT,-15640,175.72799835205078
GL,-15659,93.33700027465821
ETN,-15816,162.48200073242188
UHS,-15969,151.26100006103516
LMT,-15985,350.3154998779297
PNW,-16290,75.88050003051758
PVH,-16318,112.61899871826172
NTRS,-16620,114.08840484619141
TTWO,-17143,157.1269973754883
DGX,-17443,155.3489974975586
BR,-17490,169.87413330078124
FBHS,-17679,96.83199844360351
VRTX,-18002,192.30700073242187
FITB,-18255,38.870499801635745
DRE,-18422,52.09599990844727
FDX,-18614,261.53099822998047
PNC,-18717,191.40400238037108
PGR,-19151,94.44000091552735
WRK,-19263,51.663899993896486
HWM,-19493,31.588999938964843
ALB,-19857,238.19300079345703
HSY,-19944,176.06100006103514
MTB,-20372,137.4939987182617
WRB,-20541,73.19021301269531
TRV,-20684,157.6863037109375
REG,-20913,67.92463455200195
ALLE,-21252,143.89550170898437
DOV,-21498,172.5270004272461
GS,-21797,407.53200073242186
D,-22045,77.45847015380859
DVA,-22155,127.71900177001953
IFF,-22344,148.79000091552734
TROW,-22357,216.33710479736328
RHI,-22405,102.89000015258789
APTV,-22438,149.79299774169922
LIN,-22790,312.97150268554685
CE,-23013,153.29200134277343
SJM,-23038,121.52049942016602
TXT,-23052,71.28187713623046
LEG,-24073,46.967398452758786
TT,-24164,192.4600036621094
RCL,-24758,81.76382904052734
XYL,-25321,134.98399963378907
NSC,-25899,248.65399627685548
DLR,-25899,160.2832504272461
HIG,-26193,68.90999984741211
WEC,-26271,95.02900009155273
CB,-26298,182.2240020751953
ALK,-26383,56.952000045776366
ADP,-26481,202.73387908935547
QRVO,-26533,182.18520965576172
WM,-26622,154.73260040283202
CZR,-26706,104.31399917602539
JCI,-26795,74.76799926757812
ITW,-26893,222.8540023803711
DE,-28280,369.6320007324219
VMC,-28336,178.45699920654297
STX,-29082,86.05100021362304
BIIB,-29114,315.5989990234375
IRM,-29782,47.156666946411136
ATO,-29849,95.1740005493164
SPG,-30279,131.88146438598633
PEP,-30546,155.9624984741211
DG,-31054,220.40090942382812
EVRG,-31091,67.41143188476562
PFG,-31271,65.57050018310547
XLNX,-31456,154.7260009765625
EMN,-31613,109.31367797851563
SWKS,-32129,179.79200134277343
XEL,-33569,67.93366775512695
ICE,-34016,119.5529998779297
LYV,-34751,86.9740005493164
MNST,-34973,96.27899932861328
LNC,-35286,66.6349998474121
LNT,-35749,60.45900001525879
LOW,-35912,204.66399688720702
SEE,-36637,59.40100021362305
PNR,-36890,76.9470001220703
DRI,-37232,148.70899963378906
AKAM,-37752,112.67099990844727
AEP,-38478,89.47100143432617
L,-38573,54.49900016784668
CTSH,-38802,76.4500015258789
CRM,-40262,260.79173736572267
EA,-41771,144.16099853515624
WMT,-42179,146.60900115966797
WAB,-42228,89.58700180053711
ADSK,-42721,287.15598754882814
AOS,-43447,71.0849998474121
NXPI,-44614,211.34424285888673
AME,-44642,132.58734283447265
MET,-45264,61.229000091552734
PPL,-45710,29.695107841491698
YUM,-45870,129.79400177001952
CME,-49035,192.2764419555664
COP,-50818,56.3564998626709
AEE,-52465,87.13605041503907
TAP,-52474,46.47099990844727
BBY,-53001,111.99729690551757
OTIS,-53225,90.68499984741212
DAL,-53498,40.074500274658206
AMAT,-54072,136.44290008544922
CMA,-55030,72.22302017211913
HON,-55090,224.68399810791016
PTC,-56031,127.84599990844727
CMS,-56404,64.12800064086915
HBI,-57175,18.964999961853028
ALL,-57239,132.76000213623047
PAYX,-57393,111.49100036621094
OKE,-58710,52.966000366210935
ES,-60414,89.68400039672852
AXP,-60518,160.44049987792968
CL,-63218,77.56400070190429
AMGN,-64016,219.8559997558594
VLO,-64426,64.61549873352051
ROL,-64584,38.65499992370606
ED,-65000,75.59400024414063
PYPL,-65356,285.51300048828125
NWL,-66267,25.294999885559083
UNP,-66799,210.89100036621093
FANG,-67163,76.06900024414062
ZION,-67544,57.33900032043457
TEL,-67924,147.41199951171876
NRG,-68351,44.71599998474121
CPB,-68542,43.14650039672851
DFS,-68626,121.82999877929687
APH,-68769,76.0099998474121
LW,-69565,62.264000701904294
TGT,-69921,244.43999938964845
LUV,-70705,48.63999938964844
OMC,-70883,72.95199966430664
FB,-71576,377.16199951171876
ENPH,-73925,165.10899963378907
LLY,-75243,247.35700073242188
UDR,-77323,54.136999893188474
DUK,-82039,104.09200057983398
MMM,-86557,187.7699996948242
DLTR,-87363,90.75299911499023
HST,-88983,16.33599987030029
CAH,-90994,53.063500595092776
VFC,-91078,72.37841796875
LYB,-91711,94.46200103759766
NEM,-91888,57.61266021728515
CAT,-94528,206.9759994506836
BA,-95416,214.53699188232423
MAS,-96798,59.82099952697754
SYY,-98968,77.08300018310547
COF,-99619,157.35599670410156
FOXA,-99898,36.36799964904785
TRMB,-101318,93.35400009155273
CERN,-103306,75.17950057983398
SCHW,-103774,71.79150009155273
CTVA,-104316,43.79099960327149
LKQ,-104666,51.11700019836426
NUE,-106173,112.12900009155274
IP,-108427,58.82599983215332
FAST,-108495,54.274130249023436
JNJ,-110139,169.875
GILD,-112294,70.8602165222168
WDC,-113128,59.28700065612793
ROST,-117351,114.355859375
V,-117570,225.70099945068358
BEN,-117743,31.67849979400635
FISV,-118254,113.27400054931641
SYF,-121229,47.52510032653809
IBM,-121684,138.17041931152343
BLL,-123296,95.6150001525879
MDT,-124433,133.00699920654296
CNC,-130615,62.5560001373291
KIM,-131867,21.71036853790283
JPM,-137300,158.88300323486328
LEN,-139051,102.27699966430664
NWS,-141404,21.633526039123534
PENN,-142467,80.47199935913086
TSN,-142851,76.6520004272461
STT,-144372,89.2245002746582
CVS,-144837,85.56400070190429
NEE,-149040,85.35999984741211
AFL,-149487,55.2629997253418
DISH,-151871,44.1879997253418
RTX,-158268,83.58600082397462
PSX,-163142,67.60649871826172
MS,-164238,103.74101028442382
SBUX,-165345,117.5490005493164
PEG,-166768,63.2481086730957
USB,-169247,56.12750015258789
SO,-171684,66.47399978637695
DVN,-173787,28.45545177459717
IPG,-182113,36.994999694824216
MOS,-183312,32.06100025177002
CFG,-184788,43.18467025756836
EMR,-189451,101.76499938964844
TFC,-197140,55.84099998474121
MO,-199495,49.51561241149902
AIG,-200111,54.752999496459964
TMUS,-217901,132.64000091552734
O,-218302,70.31800003051758
HRL,-220976,42.84449996948242
DXC,-225644,35.454999923706055
DHI,-230136,91.85599975585937
BBWI,-233716,64.66300010681152
DD,-235705,71.10600128173829
BSX,-239242,45.02499961853027
FE,-250380,38.51099967956543
MSFT,-254315,299.67999572753905
NLOK,-266608,26.932500076293945
NCLH,-274452,24.88438014984131
GE,-278991,103.29100036621094
TPR,-282602,40.21104965209961
NKE,-286913,161.6439987182617
GLW,-292298,38.99599990844727
UAL,-294163,45.41199989318848
AAL,-295558,19.425
MDLZ,-296105,60.90500030517578
UNM,-317067,26.198999977111818
JNPR,-322734,28.40200004577637
IVZ,-323491,24.911000061035157
PEAK,-324984,35.882499313354494
VZ,-337843,54.75899963378906
EBAY,-362648,74.18299942016601
DISCK,-376041,26.272500038146973
UA,-397752,19.621000289916992
QCOM,-402129,142.9229995727539
DOW,-407017,61.121499633789064
HPQ,-421582,28.48688449859619
PHM,-424153,50.34899978637695
HAL,-438700,19.958500099182128
NWSA,-446561,22.105587577819826
NI,-448057,24.846999740600587
MGM,-448391,42.244493103027345
CARR,-450187,56.546500015258786
WY,-455006,35.341499710083006
ATVI,-463082,79.57850036621093
KR,-464075,44.71700096130371
RF,-464248,19.71099987030029
WU,-476354,21.43600997924805
NVDA,-481552,223.7740005493164
WYNN,-496451,99.99700164794922
XOM,-500680,54.65499000549316
BK,-539825,52.871500396728514
TJX,-548104,70.07700042724609
MRO,-573478,11.629500007629394
WBA,-602071,50.20150032043457
C,-642672,70.44199905395507
AES,-643305,24.13050022125244
ABBV,-648018,109.19550018310547
KHC,-650874,36.24700012207031
BMY,-668862,64.14450035095214
WMB,-686571,24.549419975280763
PBCT,-757183,16.159999942779542
KEY,-775733,20.21500015258789
WFC,-823715,44.725
MU,-848367,73.46799926757812
NLSN,-849166,20.571999740600585
DISCA,-900502,27.369999885559082
BAC,-936089,40.73313980102539
MRK,-962274,74.20547943115234
UAA,-965910,22.48400001525879
INTC,-976693,53.969000244140624
T,-995933,27.44036998748779
CCL,-1013646,23.172000122070312
VIAC,-1144071,40.368025588989255
CMCSA,-1230375,59.64500007629395
AMCR,-1259791,12.37502555847168
GPS,-1263535,24.697500228881836
LVS,-1344211,42.44899940490723
AMD,-1727135,107.09899978637695
PFE,-2100219,45.87000007629395
KMI,-2163011,16.163499927520753
CSX,-2243160,31.471500396728516
VTRS,-2864946,14.3145001411438
AAPL,-3471441,151.99201049804688
HBAN,-4036260,15.29350004196167
HPE,-6058936,14.578477954864502
