Stock,OBV_Value,Moving_Average
COG,3455656,18.18700008392334
LUMN,1512158,12.267000102996827
FCX,1335526,35.569830322265624
GM,1067224,49.54500045776367
F,913664,12.930000019073486
NOV,680948,13.177499961853027
OXY,623636,25.879355430603027
BKR,362397,23.611499977111816
EXC,301110,50.0939998626709
CSCO,246949,58.59299926757812
CNP,219515,25.96399974822998
BAX,189284,81.49799880981445
ORCL,187265,89.00750045776367
APA,163033,19.459000205993654
MRNA,143907,424.44200439453124
K,118836,63.165280151367185
CVX,105214,96.82999877929687
TWTR,94547,62.67447090148926
MPC,91761,57.81700057983399
HES,91481,69.5781135559082
ADM,90756,60.20099983215332
TSLA,87124,743.3860107421875
PRGO,83834,43.39749946594238
PCAR,77392,83.6115005493164
EIX,69677,58.711500549316405
KO,61157,55.77905616760254
PG,58801,144.4009994506836
TXN,58148,191.014501953125
ADI,54208,167.20599975585938
PWR,52369,114.19600067138671
ETR,50841,113.17299957275391
EW,47724,121.02099990844727
PM,39868,103.87299880981445
CBRE,37804,97.63800048828125
WELL,36577,86.9504997253418
CPRT,34333,144.24749908447265
NFLX,32662,591.518994140625
KMX,30994,131.13199844360352
AJG,30228,145.2480010986328
MCD,29904,239.13849945068358
CAG,28191,33.3370002746582
FMC,28140,96.68600006103516
GIS,27200,58.26150054931641
CTLT,26580,138.86600189208986
NTAP,26086,91.04199905395508
CLX,24746,170.06999969482422
HSIC,24126,77.975
DIS,23403,183.59599761962892
VNO,23334,41.62999992370605
PPG,21114,153.50399932861328
MAR,18089,136.73849792480468
EXPE,17440,146.60450134277343
OGN,16724,34.63200035095215
ZBH,15949,145.97549743652343
MCHP,15414,157.48899841308594
BDX,13840,258.2477096557617
MMC,11555,159.0529983520508
AON,11009,290.8240020751953
EXPD,10734,125.12399826049804
VRSK,9915,204.5273635864258
PXD,8513,150.70800018310547
EOG,8293,68.59199905395508
DHR,8156,328.05299987792966
ABT,7558,128.0090019226074
TSCO,7388,200.5020004272461
ABC,7313,123.83799896240234
PLD,6857,135.86299896240234
SHW,6774,301.88500061035154
AMT,6646,298.1630004882812
EQR,6581,83.4209991455078
TMO,6386,565.9030090332031
IR,5544,53.43624992370606
PKI,5439,187.37250213623048
WLTW,4965,231.6260009765625
CF,4637,45.88274955749512
HCA,3946,254.78890228271484
VRSN,2940,221.08499755859376
SIVB,2336,583.5930053710938
STZ,2263,214.37799987792968
ANSS,2001,370.2779998779297
SRE,1837,133.70750122070314
KSU,1516,286.28577880859376
DXCM,1492,545.9424926757812
IT,1408,312.2329986572266
UNH,1164,415.57219848632815
ZTS,1074,206.80216064453126
MKC,963,86.6630012512207
TECH,697,510.8040008544922
FOX,532,33.72150001525879
MAA,440,193.2125
NDAQ,304,196.53277435302735
MSCI,289,651.4414978027344
TFX,279,391.1739990234375
WST,207,457.4199951171875
BIO,182,810.427001953125
EQIX,157,860.3110046386719
EXR,114,187.6736038208008
IDXX,111,675.6070007324219
VTR,105,56.64700050354004
WAT,59,417.2574981689453
MTD,48,1574.5869995117187
ISRG,36,1056.075
BKNG,35,2316.27900390625
NVR,-9,5072.31103515625
ESS,-34,329.4339935302734
AZO,-67,1546.9177978515625
COO,-83,448.43500061035155
